tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-mass,animal-sex,attachment-type,deploy-off-person,deploy-on-person,deployment-end-type,deployment-id,manipulation-type,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-manufacturer-name,tag-mass,tag-model,tag-production-date,tag-serial-no
151-2587,Moe,Vulpes vulpes,2015-10-07 20:40:39.000,2016-02-02 03:30:44.000,4750.0,m,collar,Andrew Carter,Andrew Carter,equipment-failure,Moe_151-2587,none,151.26,2015 = Moe,Remote drop-off failed. Collar not recovered,Telemetry Solutions,171.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613615
150-3603,Jim,Vulpes vulpes,2015-10-13 22:00:38.000,2016-01-25 13:40:37.000,4000.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Jim_150-3603,none,150.36,2015 = Jim; 2016 = Zoe; 2017 = Don,,Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613115
151-2378,Liz,Vulpes vulpes,2015-10-19 20:40:38.000,2016-02-11 12:00:36.000,4000.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Liz_151-2378,none,151.24,2015 = Liz; 2016 = Ada; 2017 = Ros,,Telemetry Solutions,176.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613515
151-2983,Kim,Vulpes vulpes,2015-11-08 20:00:37.000,2015-12-04 03:30:48.000,5000.0,f,collar,Andrew Carter,Andrew Carter,equipment-failure,Kim_151-2983,none,151.3,2015 = Kim,Remote drop-off failed. Collar not retreived.,Telemetry Solutions,174.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613815
150-3987,Mem,Vulpes vulpes,2015-11-23 20:40:38.000,2016-01-25 13:40:38.000,3000.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Mem_150-3987,none,150.4,2015 = Mem; 2016 = Reg,"Last remote download attempt before programmed drop-off date failed.Remote drop off failed?collar recovered after Reg died.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613315
151-2779,Zoe,Vulpes vulpes,2015-11-23 22:00:38.000,2016-03-11 12:00:37.000,4000.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Zoe_151-2779,none,151.28,2015 = Zoe; 2016 = Cat; 2017 = Joy,,Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613715
151-3384,Ann,Vulpes vulpes,2015-11-30 14:00:37.000,2016-03-11 12:00:36.000,4000.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Ann_151-3384,none,151.34,2015 = Ann; 2016 = Bea; 2017 = Flo,"in 2017, collar only collected fixes for ~17 days. Manufacturer suggested flat GPS battery likely cause.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17614015
151-3981,Bob,Vulpes vulpes,2016-07-31 14:00:36.000,2016-09-02 16:01:05.000,4750.0,m,collar,Andrew Carter,Andrew Carter,dead,Bob_151-3981,none,151.4,2016 = Bob; 2017 = Ned,"In 2017, collared collected GPS fixes for 2 days then stopped. Manufacturer suggested GPS battery failure was likely cause.",Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37514616
150-5573,Flo,Vulpes vulpes,2016-07-31 14:00:36.000,2016-11-24 12:20:37.000,4550.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Flo_150-5573,none,150.56,2016 = Flo; 2017 = Oli,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519716
150-3987,Reg,Vulpes vulpes,2016-07-31 14:00:37.000,2016-11-25 13:40:37.000,4400.0,m,collar,Andrew Carter,Andrew Carter,dead,Reg_150-3987,none,150.4,2015 = Mem; 2016 = Reg,"Last remote download attempt before programmed drop-off date failed.Remote drop off failed?collar recovered after Reg died.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613315
151-2378,Ada,Vulpes vulpes,2016-07-31 14:00:37.000,2016-11-14 02:12:46.000,3600.0,f,collar,Andrew Carter,Andrew Carter,dead,Ada_151-2378,none,151.24,2015 = Liz; 2016 = Ada; 2017 = Ros,,Telemetry Solutions,176.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613515
150-3603,Zoe,Vulpes vulpes,2016-07-31 14:00:37.000,2016-08-22 11:00:36.000,3650.0,f,collar,Andrew Carter,Andrew Carter,dead,Zoe_150-3603,none,150.36,2015 = Jim; 2016 = Zoe; 2017 = Don,,Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613115
151-1784,Oli,Vulpes vulpes,2016-07-31 14:00:37.000,2016-11-24 13:00:38.000,4400.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Oli_151-1784,none,151.18,2016 = Oli; 2017 = Ern,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519816
151-3384,Bea,Vulpes vulpes,2016-07-31 14:00:39.000,2016-11-24 13:00:38.000,3600.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Bea_151-3384,none,151.34,2015 = Ann; 2016 = Bea; 2017 = Flo,"in 2017, collar only collected fixes for ~17 days. Manufacturer suggested flat GPS battery likely cause.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17614015
151-2779,Cat,Vulpes vulpes,2016-07-31 14:01:03.000,2016-08-21 18:20:38.000,4650.0,f,collar,Andrew Carter,Andrew Carter,dead,Cat_151-2779,none,151.28,2015 = Zoe; 2016 = Cat; 2017 = Joy,,Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613715
151-3197,Val,Vulpes vulpes,2016-08-31 14:00:37.000,2016-12-23 21:40:37.000,3600.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Val_151-3197,none,151.32,2016 = Val; 2017 = Lou,,Telemetry Solutions,174.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613915
150-3803,Joy,Vulpes vulpes,2016-08-31 14:00:38.000,2016-12-22 13:20:38.000,3800.0,f,collar,Andrew Carter,Andrew Carter,fall-off,Joy_150-3803,none,150.38,2016 = Joy; 2017 = Abe,Faulty VHF signal in 2017. Tag gave mortality signal when the fox was still alive (as confirmed visually by AC),Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613215
151-3384,Flo,Vulpes vulpes,2017-07-31 14:00:36.000,2017-08-15 07:00:44.000,4400.0,f,collar,Andrew Carter,Andrew Carter,dead,Flo_151-3384,none,151.34,2015 = Ann; 2016 = Bea; 2017 = Flo,"in 2017, collar only collected fixes for ~17 days. Manufacturer suggested flat GPS battery likely cause.",Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17614015
150-3603,Don,Vulpes vulpes,2017-07-31 14:00:38.000,2017-11-21 10:40:36.000,5400.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Don_150-3603,none,150.36,2015 = Jim; 2016 = Zoe; 2017 = Don,,Telemetry Solutions,175.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613115
151-1784,Ern,Vulpes vulpes,2017-07-31 14:00:39.000,2017-10-26 17:40:38.000,4600.0,m,collar,Andrew Carter,Andrew Carter,dead,Ern_151-1784,none,151.18,2016 = Oli; 2017 = Ern,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519816
151-2779,Joy,Vulpes vulpes,2017-07-31 14:00:39.000,2017-10-26 18:20:37.000,3600.0,f,collar,Andrew Carter,Andrew Carter,dead,Joy_151-2779,none,151.28,2015 = Zoe; 2016 = Cat; 2017 = Joy,,Telemetry Solutions,178.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613715
151-3586,Kev,Vulpes vulpes,2017-07-31 14:00:39.000,2017-11-20 13:00:38.000,4300.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Kev_151-3586,none,151.36,2017 = Kev,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37514416
151-2378,Ros,Vulpes vulpes,2017-07-31 14:00:43.000,2017-10-26 16:00:37.000,4000.0,f,collar,Andrew Carter,Andrew Carter,dead,Ros_151-2378,none,151.24,2015 = Liz; 2016 = Ada; 2017 = Ros,,Telemetry Solutions,176.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613515
151-2216,Jen,Vulpes vulpes,2017-07-31 14:00:44.000,2017-10-31 12:40:39.000,4100.0,f,collar,Andrew Carter,Andrew Carter,dead,Jen_151-2216,none,151.22,2017 = Jen,,Telemetry Solutions,177.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613415
150-5573,Oli,Vulpes vulpes,2017-07-31 14:00:44.000,2017-10-31 13:20:38.000,4900.0,m,collar,Andrew Carter,Andrew Carter,dead,Oli_150-5573,none,150.56,2016 = Flo; 2017 = Oli,,Telemetry Solutions,,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2016,37519716
151-3197,Lou,Vulpes vulpes,2017-07-31 14:01:05.000,2017-11-20 13:00:37.000,3200.0,m,collar,Andrew Carter,Andrew Carter,fall-off,Lou_151-3197,none,151.32,2016 = Val; 2017 = Lou,,Telemetry Solutions,174.0,Quantum 4000 Enhanced Ext Acc LS26500 SIRFIII,2015,17613915
